"fit.data.JPM","fit.data.WFC","fit.data.C","fit.data.USB","XLF.close"
58.150002,46.130001,49.52,40.790001,21.639998
58.490002,46.130001,49.380001,40.740002,21.679999
57.259998,45.529999,48.189999,39.950001,21.379998
57.580002,45.630001,48.130001,40.32,21.439999
57.610001,45.599998,48.259998,40.34,21.479999
58.029999,46.080002,48.98,40.799999,21.639998
57.029999,46.080002,48.400002,40.950001,21.509999
56.75,46.049999,48.32,40.970001,21.479999
56.689999,46.049999,48.689999,41.139999,21.59
56.82,46.419998,48.630001,41.139999,21.699999
56.209999,46.150002,47.610001,40.650002,21.529999
57.259998,46.740002,48.830002,41.419998,21.969999
58.16,47.09,49.419998,41.439999,22.199999
58.900002,47.34,49.709999,41.650002,22.269998
59.400002,47.950001,49.619999,42.169998,22.37
59.200001,48.150002,49.57,42.349998,22.379997
58.189999,47.810001,48.43,41.959999,22.229999
57.919998,48.119999,47.98,42.09,22.189999
57.419998,47.84,47.330002,41.700001,21.939999
56.799999,47.400002,46.880001,41.540001,21.799998
57.580002,48.130001,47.73,41.959999,22.030001
58.060001,48.400002,48.139999,42.369999,22.139997
58.299999,47.810001,48.939999,42.34,22.129997
60.110001,49.029999,50.220001,42.900002,22.479999
60.169998,49.119999,50.080002,43.02,22.399999
61.07,48.98,50.049999,43.32,22.39
60.93,48.959999,50.299999,43.419998,22.37
59.900002,48.5,50.16,42.919998,22.139997
59.919998,49.099998,47.450001,42.259998,22.019999
60.040001,49.290001,47.25,42.299999,22.11
60.709999,49.740002,47.599998,42.860001,22.34
60.669998,49.77,47.799999,42.990002,22.379997
60.48,49.759998,48.240002,43.049999,22.429999
60.66,49.830002,47.68,43.02,22.39
59.810001,49.560001,47.110001,42.549999,22.169999
59,48.66,46.549999,42,21.829998
58.849998,48.830002,46.599998,41.790001,21.86
59.27,49.099998,47.16,42.009998,22.049998
57.400002,47.709999,46.23,40.779999,21.540001
55.299999,48.080002,45.68,40.509998,21.279999
54.959999,48.110001,47.669998,40.610001,21.449999
54.799999,48.779999,48.310001,41.009998,21.65
55.259998,49.09,48.18,40.470001,21.819998
55.220001,48.93,48.220001,40.25,21.86
55.029999,49.119999,47.84,40.380001,21.84
55.810001,49.23,48.02,40.639999,21.989999
56.049999,49.59,48.400002,40.939999,22.040001
56.189999,49.32,48.330002,40.650002,22.030001
55.700001,49.049999,47.75,40.220001,21.85
55.490002,48.939999,47.299999,40.16,21.719999
56.099998,49.470001,48.16,40.57,21.929999
55.98,49.639999,47.91,40.779999,21.959999
55.720001,49.639999,47.759998,40.369999,21.999999
55.580002,49.580002,47.73,40.389999,21.989999
54.220001,49.560001,47.18,40.450001,21.9
53.34,49.09,46.360001,40.150002,21.59
54.049999,49.389999,46.700001,40.459999,21.879998
54.360001,49.330002,47.139999,40.330002,21.939999
54.009998,49.080002,46.990002,40.32,21.929999
54.650002,49.759998,47.27,40.450001,22.15
54.619999,49.810001,47.419998,40.529999,22.129997
